Channel
1st Floor Lights Expected Energy Usage
1st Floor Lights Expected Power Usage
1st Floor Sens. Heat Expected Energy Usage
1st Floor Sens. Heat Expected Power Usage
2nd Floor Lights Expected Energy Usage
2nd Floor Lights Expected Power Usage
2nd Floor Sens. Heat Expected Energy Usage
2nd Floor Sens. Heat Expected Power Usage
Appliances Expected Energy Usage
Appliances Expected Power Usage
Are Inverters On? (B_AreInvertersOn)
Array AC Energy (E_AC_array)
Array AC Power Inv1 (P_AC_array_PercRated1)
Array AC Power Inv2 (P_AC_array_PercRated2)
Array DC Energy (E_DC_array)
Array DC Power Percent of STC (P_DC_array_PercSTC)
Array Efficiency (Eta_bar_array)
Attic DAS TC Burnout [IsBurned]
Attic DAS Temp. [T_DAS]
Backside Temp Array (T_bar_array)
Basement Plug Loads Expected Energy Usage
Basement Plug Loads Expected Power Usage
BR2 Operative Temperature
BR2 Plug Loads Expected Energy Usage
BR2 Plug Loads Expected Power Usage
BR2OperativeTemperature
BR3 Operative Temperature
BR3 Plug Loads Expected Energy Usage
BR3 Plug Loads Expected Power Usage
BR3OperativeTemperature
BR4 Plug Loads Expected Energy Usage
BR4 Plug Loads Expected Power Usage
Current - RP B-1 Plugs - Base A (Heliodyne HXs)
Current - RP B-10 Plugs - Outdoor A
Current - RP B-11 Plugs - Outside East
Current - RP B-12 Plugs - Outdoor B
Current - RP B-13 Plugs - DR
Current - RP B-14 Plugs - BR4
Current - RP B-15 Plugs - Entry Hall
Current - RP B-16 Plugs - LR
Current - RP B-17 Clothes Washer
Current - RP B-18 Dryer (1of2)
Current - RP B-19 Dehumidifier
Current - RP B-2 Plugs - Base B
Current - RP B-20 Dryer (2of2)
Current - RP B-21 Heat Pump (1of2)
Current - RP B-22 AHU-2  (1of2)
Current - RP B-23 Heat Pump (2of2)
Current - RP B-24 AHU-2  (2of2)
Current - RP B-25 HRV
Current - RP B-26 Heat Pump WH (1of2)
Current - RP B-27 RP B-BA BCPM Power/Voltage
Current - RP B-28 Heat Pump WH (2of2)
Current - RP B-29 Plugs - Vehicle - 240V (1of2)
Current - RP B-3 Plugs - Base C
Current - RP B-30 AHU-2 Alternate
Current - RP B-31 Plugs - Vehicle - 240V (2of2)
Current - RP B-32 AHU-1
Current - RP B-33 PV (1of2)
Current - RP B-34 Plugs - Vehicle - 120V
Current - RP B-35 PV (2of2)
Current - RP B-36 Plugs - Garage
Current - RP B-37 FCU-1 Future (1of2)
Current - RP B-38 Space
Current - RP B-39 FCU-1 Future (1of2)
Current - RP B-4 Sump Pump
Current - RP B-40 Space
Current - RP B-41 Spare
Current - RP B-42 Space
Current - RP B-5 Lights - Basement Stair
Current - RP B-6 Spare
Current - RP B-7 Plugs - Center Hall
Current - RP B-8 Plugs - BA1
Current - RP B-9 Plugs - Outside North
Current - RP BA-1 Make-Up Air Damper
Current - RP BA-10 Garbage Disposal
Current - RP BA-11 Plugs - Kit (Range)
Current - RP BA-12 Plugs - Kit Peninsula
Current - RP BA-13 Range  (1of2)
Current - RP BA-14 Microwave
Current - RP BA-15 Range  (2of2)
Current - RP BA-16 FCU-2 Future  (1of2)
Current - RP BA-17 Solar Hot Water #1  -  (1of2)
Current - RP BA-18 FCU-2 Future  (2of2)
Current - RP BA-19 Solar Hot Water #1  -  (2of2)
Current - RP BA-2 Lights - 2nd Floor
Current - RP BA-20 HPU-4 Future (1of2)
Current - RP BA-21 Plugs - 2nd Floor
Current - RP BA-22 HPU-4 Future (2of2)
Current - RP BA-23 Spare
Current - RP BA-24 ACCU-1  (1of2)
Current - RP BA-25 Solar Hot Water #2  -  (1of2)
Current - RP BA-26 ACCU-1  (2of2)
Current - RP BA-27 Solar Hot Water #2  -  (2of2)
Current - RP BA-28 ACCU-2  (1of2)
Current - RP BA-29 Plugs - BR2
Current - RP BA-3 Plugs - MBA (East)
Current - RP BA-30 ACCU-2  (2of2)
Current - RP BA-31 Plugs - MBR
Current - RP BA-32 Lights - 1st FloorA
Current - RP BA-33 Cooktop
Current - RP BA-34 Lights - 1st FloorB
Current - RP BA-35 Space
Current - RP BA-36 FCU-2 Future (1of2)
Current - RP BA-37 Space
Current - RP BA-38 FCU-2 Future (2of2)
Current - RP BA-39 Space
Current - RP BA-4 Plugs - BA2 (South)
Current - RP BA-40 Dishwasher
Current - RP BA-41 Space
Current - RP BA-42 Space
Current - RP BA-5 Plugs - MBA (West)
Current - RP BA-6 Plugs - BA2 (North)
Current - RP BA-7 Plugs - BR3
Current - RP BA-8 Refrigerator
Current - RP BA-9 Plugs - Kit (Sink)
Current - RP BB-1 Plugs - GSHP Instrumentation
Current - RP BB-10 Plugs - Inst BR4 A
Current - RP BB-11 Child B - Downstairs
Current - RP BB-12 Plugs - Inst BR4 A
Current - RP BB-13 Plugs - Inst LR A
Current - RP BB-14 Spare
Current - RP BB-15 Child A - Downstairs
Current - RP BB-16 Plugs - Inst LR B
Current - RP BB-17 Plugs - Inst MBA A (Scale)
Current - RP BB-18 Plugs - Inst BA2
Current - RP BB-19 Plugs - Inst MBA B
Current - RP BB-2 Plugs - Inst Mudroom A
Current - RP BB-20 Leak Detection System
Current - RP BB-21 Plugs - Inst MBR A
Current - RP BB-22 Plugs - Inst BR2/Hall
Current - RP BB-23 Parent A - Upstairs
Current - RP BB-24 Plugs - Inst Hall
Current - RP BB-25 Lighting Control Panel (RP-S #1)
Current - RP BB-26 Plugs - Inst BR3
Current - RP BB-27 Child A - Upstairs
Current - RP BB-28 Child B - Upstairs
Current - RP BB-29 Heat Load for Refrigerator
Current - RP BB-3 Plugs - HVAC Instrumentation
Current - RP BB-30 Plugs - Inst
Current - RP BB-31 Lighting Control Panel (RP-S #2)
Current - RP BB-32 Plugs - Inst Control Power
Current - RP BB-33 Lights - Basement
Current - RP BB-34 Parent B - Upstairs
Current - RP BB-35 Spare
Current - RP BB-36 Plugs - Inst Network/Cable Box
Current - RP BB-37 BCPM Power/Voltage
Current - RP BB-38 Plugs - Inst Phone/Data
Current - RP BB-39 Parent B - Downstairs
Current - RP BB-4 Plugs - Inst BA1
Current - RP BB-40 Plugs - Inst Kit D
Current - RP BB-41 Plugs - DR B
Current - RP BB-42 Plugs - Attic
Current - RP BB-5 Lights - Attic
Current - RP BB-6 Plugs - Inst Kit A
Current - RP BB-7 Plugs - Inst Mudroom B
Current - RP BB-8 Parent A - Downstairs
Current - RP BB-9 Plugs - Inst DR A
"Daily Solar fraction, f"
"Daily Total Hot Water Load, QL"
DailySolarfractionf
DailyTotalHotWaterLoadQL
Delivery Temp - CW
Delivery Temp - DW
Delivery Temp - Kitchen Sink
Delivery Temp - MBA Sink
Delivery Temp - Shower
Delivery Temp - Tub
DeliveryTempCW
DeliveryTempDW
DeliveryTempKitchenSink
DeliveryTempMBASink
DeliveryTempShower
DeliveryTempTub
Draw Volume - CW
Draw Volume - DW
Draw Volume - Kitchen Sink
Draw Volume - MBA Sink
Draw Volume - Shower
Draw Volume - Tub
DrawVolumeCW
DrawVolumeDW
DrawVolumeKitchenSink
DrawVolumeMBASink
DrawVolumeShower
DrawVolumeTub
Dryer Water Flow
DryerOn
Energy - RP B-10 Plugs - Outdoor A
