NewDataLabel,OldDataLabel,Diff
PV_WhoursDeliveredWhD2,PV_WhoursDeliveredWhD2,
Elec_PowerPlugsBaseAHeliodyneHXs,Elec_PowerRPB1PlugsBaseAHeliodyneHXs,Yes
SHW_GlycolFlowHXCoriolisSHW,SHW_GlycolFlowHXCoriolisSHW,
SHW_GlycolFlowRateHXCoriolisSHW,SHW_GlycolFlowRateHXCoriolisSHW,
SHW_GlycolTempSHWPanel80galOut,SHW_GlycolTempSHWPanel80galOut,
SHW_PSPSHW,SHW_PSPSHW,
SHW_SHWHX80galWaterFlow,SHW_SHWHX80galWaterFlow,
SHW_WaterFlowHXCoriolisSHW,SHW_WaterFlowHXCoriolisSHW,
SHW_WaterFlowRateHXCoriolisSHW,SHW_WaterFlowRateHXCoriolisSHW,
Elec_EnergyMakeUpAirDamper,Elec_EnergyRPBA1MakeUpAirDamper,Yes
Elec_PowerMakeUpAirDamper,Elec_PowerRPBA1MakeUpAirDamper,Yes
Vent_HRVDewpointTemperatureExhaust,Vent_HRVDewpointTemperatureExhaust,
Vent_HRVDewpointTemperatureOutdoor,Vent_HRVDewpointTemperatureOutdoor,
Vent_HRVDewpointTemperatureReturn,Vent_HRVDewpointTemperatureReturn,
Vent_HRVDewpointTemperatureSupply,Vent_HRVDewpointTemperatureSupply,
Vent_HRVexhaustflowrate,Vent_HRVexhaustflowrate,
Vent_HRVfreshairpressuredifferential,Vent_HRVfreshairpressuredifferential,
Vent_HRVoutdoorflowrate,Vent_HRVoutdoorflowrate,
Vent_HRVreturnflowrate,Vent_HRVreturnflowrate,
Vent_HRVstaleairpressuredifferential,Vent_HRVstaleairpressuredifferential,
Vent_HRVTempExhaustOut,Vent_HRVTempExhaustOut,
Vent_HRVTempOutdoorin,Vent_HRVTempOutdoorin,
Vent_HRVTempReturnIn,Vent_HRVTempReturnIn,
Vent_HRVTempSupplyOut,Vent_HRVTempSupplyOut,
